word,count,sqrt_count,tf_score,char_freq_score
patch,592,24.331050121192877,2.7688762579777197,50.46509746825204
globe,636,25.219040425836983,2.8699296551634768,64.13491870905119
quill,31,5.5677643628300215,0.6336122147406381,32.94507805548815
spitz,26,5.0990195135927845,0.5802689978372364,47.78775378144463
embed,21,4.58257569495584,0.521497632816799,17.236916606001778
choke,41,6.4031242374328485,0.7286762630301253,62.19364231982528
dummy,79,8.888194417315589,1.0114775308016453,24.201245652349748
colon,101,10.04987562112089,1.1436769832927562,23.0364798188142
runic,20,4.47213595499958,0.5089295779084014,55.91684866132815
belle,149,12.206555615733702,1.3891074108079895,7.150368033648789
camel,241,15.524174696260024,1.7666528377142425,74.33470840410902
twins,794,28.178005607210743,3.2066602277478573,52.50343767693924
dizzy,91,9.539392014169456,1.085583891036804,30.453773355981557
feist,28,5.291502622129181,0.602173597377063,74.45603817843566
gypsy,78,8.831760866327848,1.0050553863111686,23.5784194774731
hazel,95,9.746794344808963,1.109186299740766,69.34401035347406
villa,478,21.863211109075447,2.488035899048397,47.98997007198899
clown,1973,44.41846462902562,5.05482630279101,42.99927202135404
posse,109,10.44030650891055,1.1881080625185696,55.496238776995874
snail,91,9.539392014169456,1.085583891036804,75.1678395211518
monte,351,18.734993995195193,2.132044437386077,68.87486855941114
moldy,6,2.449489742783178,0.27875221000201433,42.82132168567499
cuber,3,1.7320508075688772,0.1971075779631609,62.93779826902856
manna,11,3.3166247903554,0.37743227657225215,6.139286580926959
serge,83,9.1104335791443,1.0367683725744137,31.464854808703386
waits,51,7.14142842854285,0.8126953635517804,70.90512011647658
swoon,11,3.3166247903554,0.37743227657225215,26.385181590228907
largo,81,9.0,1.024201018767115,67.55641834506187
wrath,137,11.704699910719626,1.3319961747691553,53.49834182641752
binge,93,9.643650760992955,1.0974485482270273,63.98932297985925
gauge,402,20.049937655763422,2.2816851748055593,68.30057429426513
rests,41,6.4031242374328485,0.7286762630301253,51.41955835962145
motto,278,16.673332000533065,1.8974270690209223,6.988595001213297
infer,50,7.0710678118654755,0.8046883174093303,70.11243225754266
beans,76,8.717797887081348,0.9920863863727242,81.44463317964895
steam,785,28.0178514522438,3.188434666783754,83.2403138396829
axles,73,8.54400374531753,0.9723085933671399,78.95332848014235
volts,13,3.605551275463989,0.410312143283032,51.662217908274684
lamps,18,4.242640687119285,0.48281299044559817,58.62654695462265
cents,211,14.52583904633395,1.6530421277447074,65.84971285286741
trash,140,11.832159566199232,1.3465010979907017,64.8628973550109
mints,9,3.0,0.34140033958903826,54.22632047237725
